paragraph,tag
"First, I break the eggs. Then, I heat the butter in a pan. Next, I add the eggs. Finally, I eat the omelette with toast.",sequential
"In the first place, click and drag your mouse over the cells in which you want the paragraph displayed. Then, click the ""Merge & Center"" drop-down arrow from the Home tab's Alignment group and select ""Merge Cells."" After that, click the ""Wrap Text"" button in the Home tab's Alignment group to allow text to automatically wrap within the newly merged cell. Next, move your mouse cursor over the row's divider line, located just under the left row number. Lastly, when your cursor turns into a line with upper and lower arrows, click and drag your mouse to increase the row height.",sequential
"First, I gave the baby a bottle. Next, I put the baby down for a nap. Finally, I helped babay for a bath.",sequential
" Firstly, any new situation that a person encounters can be an opportunity to learn and grow as a person. A new job, for instance, might present challenges that push the person to adapt, acquire new knowledge, or add to his or her skill set. Secondly, a change can represent a break with the past and an old routine which has become boring and predictable. Finally, as well as making life more fun and interesting, new experiences can be good for our physical and mental health.",sequential
"Last week, I visited Chicago to attend a business conference. While I was there, I decided to visit the Art Institute of Chicago. To start off, my flight was delayed. Next, the airline lost my luggage, so I had to wait for two hours at the airport while they tracked it down. Unexpectedly, the luggage had been set aside and forgotten. As soon as they found my luggage, I found a taxi and rode into town. During the ride into town, the driver told me about his last visit to the Art Institute. After I had arrived safely, everything began to go smoothly. The business conference was very interesting, and I thoroughly enjoyed my visit to the institute. Finally, I caught my flight back to Seattle.",sequential
"First, the pigs move away from their mother. Next, all three pigs build their own homes from straw, wood and bricks. Last, the big bad wolf attempts to blow their houses down and is not successful in blowing down the brick house. ",sequential
" First, the tortoise and the hare begin a race. Then, the hare decides to take a nap by a tree since he is so far ahead of the tortoise. Last, the tortoise wins the race because the hare has fallen asleep. ",sequential
"First, the pigs move away from their mother. Then, the first pig builds his house of straw. Next, the second pig builds his house with wood. Then after, the third pig builds his house of bricks. Next, the wolf blows down the straw house. Then, the wolf blows down the wood house. Last, the wolf attempts to blow down the brick house but cannot.",sequential
"First, spread peanut butter on one slice of bread. Next, spread jelly on another slice of bread. Last, put the two pieces of bread together. ",sequential
"sing mobile phones opens many opportunities to users. Having a good mobile phone means having lot of chances to do many things. It is very important to have a good mobile phone that can satisfy the desires of its users. Many mobile phones are available in the Philippines but these phones differ in the quality of their features. They share the same features but they differ in their quality. In the Philippines, mobile phones can be classified into two – 1.) local and 2.) imported. As the name implies, local mobile phones are phones assembled in the Philippines while the imported mobile phones are those made in abroad. 
Local and imported mobile phones are widely used in the Philippines. Filipinos have different reasons or preferences on choosing the mobile phones that they would use. Features and functionalities are the most preferences of the mobile phones buyers. Filipinos are aware that imported mobile phones are dominant mainly because of its undeniably amazing features. Imported mobile phones adapted to the desired features of the users. On the other hand, local mobile phones adopted the features of the imported mobile phones making them akin to some features. However, eventhough they share the same features, there are still differences in them. Mobile phones, today, have advanced features that are useful to users. These features include video quality, imaging, internet access, texting and calling under the wireless communication, games, dimension which is further classified to screen size and the entire cellphone size, music, battery, memory storage and input mechanism. According to Alano (2000), no scientific evedince that mobile phone can harm our health was found. But still, in some places, the use of mobile phones is either mininize or prohibited to avoid potential risks from microwaves.",comparative
"The overwhelming poverty that Sylvia (Toni Cade Bambara, ""The Lesson"" p.543) and Abner (William Faulkner, ""Barn Burning"" p.250) experience dooms them both to a life of self-destruction. Though from different worlds, Sylvia and Abner both experience hate, confusion, and anger because of their lowly positions in life. Instead of trying to better themselves, they choose to vent their dissatisfactions on others, and ignore the cause of the discriminations they face.  Sylvia and Abner have both experienced a life full of hardships. Abner has a history of commiting crimes for a living, such as the time he spent stealing horses during the civil war. Though from a completely different time frame and setting, Sylvia has also spent her life barely scraping by. When Miss Moore takes the children to the toy store, Sylvia's complete befuddlement at the idea of owning something that isn't useful vividly exemplifies how unfamiliar she is with wealth. Bad experiences in both Sylvia and Abner's lives with upper class people also plays into their uncivility twards anyone not as poor as they are. Due to Abners history as a sharecropper and criminal, it is quite likely that he has had many unpleasant experiences with wealthy people. In his story, Faulkner implies that Abner is no stranger to commiting crimes against his employers. In at least one instance, when he is shot while stealing a horse, Abner is physically punished for his lawlessness. Sylvia's distaste for anyone who might be considered better that her is evidenced by her dislike of Miss Moore. Miss Moore's education alienates her from Sylvia, who is disconcerted by her ""nappy hair and proper speech and no makeup.""",comparative
"Religion is sold to the masses daily. In 1925 it was sold to the masses in the form of printed material by Bruce Barton. In 1960 it was sold to the masses by way of a film entitled Elmer Gantry. Bruce Barton sold a different idea of Jesus than most people were familiar with. In the film, Elmer Gantry sold religion with bravado and arrogance which was not the typical way of selling religion either. In each work, religion is being sold but Elmer is a more exciting and relatable character than Bruce Barton’s Jesus. Elmer Gantry sold religion in a similar way to Barton’s Jesus but did so in a more relatable manner. In both works, each character sought out to sell religion. Although the major characters in each work were selling religion, their reasons for selling it were completely different. When Jesus was preaching religion, his reasons were noble. In The Man Nobody Knows, Jesus sold religion to save people. He claimed to be the son of God and was doing God’s work. He not only preached to the masses but also apparently had superhuman powers which cured the ill. “A woman who had been sick for twelve years…she said within herself, if I may but touch his garment, I shall be whole” (Barton, 1925). Not only could he heal people with a single touch, but his powers were so great that he did not even have to touch them to be healed. An ordinary person cannot relate to having superhuman abilities. Although Barton’s Jesus was portrayed to be greater than he was portrayed in the Bible, most people would be able to relate more to the Bible version of Jesus. Barton took Jesus and made him into an even greater character. ",comparative
"The hero of Beowulf, one of the oldest written Germanic epics, is a leader of the Geats and a hero unlike all others before him. He is able to conquer foes that no one else can, and he charges into every battle with the full force that he can muster, without any of the encumbrances that others may have. His greatest desire is fame and glory, and he performs whatever difficult tasks he believes will bring him closer to that goal. Beowulf’s quest for power drives him to seek fame by challenging Grendel, Grendel’s mother, and finally a giant dragon that causes his death. Though Beowulf’s strength and courage lead him to power and its accompanying responsibility, the power that he accumulates has negative consequences for those who rely on him. This very thirst for power is Beowulf’s fatal flaw, causing him to ignore his duties towards his people and leave his kingdom unprotected and vulnerable; however, it also serves as the force that allows him to accomplish unbelievable feats. Beowulf’s obsession with power leads him to disregard everything else that should be important to a leader and a king, including his duties towards his citizens and his country. Before he is made king, Beowulf travels to Hrothgar’s kingdom to fight Grendel and achieve glory by defeating the widely feared monster. After he wins the fight with Grendel and defeats Grendel’s mother who seeks revenge for her son’s death, Beowulf announces his victories to Hrothgar and his court, claiming fame as a successful warrior.",comparative
"A tragedy is defined as beginning with a problem that affects everyone, i.e. the whole town or all the characters involved, the tragic hero must solve this problem and this results in his banishment or death [run-on sentence]. A comedy is defined as also beginning with a problem, but one of less significant importance. The characters try to solve the problem and the story ends with all the characters uniting in either a marriage of a party. Although these two genres are seen as being complete opposites of each other, through further analysis one can gather that though they are different certain similarities can also be seen. One aspect of these genres that can be compared and contrasted is the narrative or plot. A comparison can be analyzed in that both begin with a problem. In Oedipus Rex, the play begins with a plague devastating the city of Thebes. In A Midsummer Night's Dream there is also a plague that is upon the land. However, a difference between these two beginnings is that in Oedipus Rex the citizen are effected by it to the point that they look towards Oedipus for a solution to their suffering; while in A Midsummer Night's Dream, the effects of the plague are never shown to the audience and it seems a minor detail. Another difference is the cause of the plague in the two plays. In the tragedy, Oedipus Rex, the hero ends up being the cause because he murdered the king; while in A Midsummer Night's Dream the cause is a fight between Titania and Oberon. Another point that can be compared and contrasted is the search for a solution in the plots. In Hamlet, Hamlet is searching for the truth to discover if his father was really murdered by his uncle and if this is true he must correct the situation by killing his uncle. Also, in Oedipus Rex this plot is seen in that Oedipus is searching for the truth about the murder of the old king, Laios, and the situation will be resolved by the murder being banished from Thebes. In contrast A Midsummer Night's Dream is more centered around the lovers trying to overcome the forces that separate them and Oberon seeking revenge on Titania.",comparative
"In a comparison of comedy and tragedy, I will begin by looking at narrative. The narration in a comedy often involves union and togetherness as we see in the marriage scene at the end of Midsummer's Night Dream. William Hazlitt tells us that one can also expect incongruities, misunderstandings, and contradictions. I am reminded of the play The Importance of Being Ernest and the humor by way of mistaken identity. Sigmund Freud tells us to expect excess and exaggeration in comedy. Chekhov's Marriage Proposal displays this excess both in language and in movements. Charles Darwin insists that in a comedy ""circumstances must not be of a momentous nature;"" whereas, Northop Frye identifies comedy as having a happy ending and using repetition that goes nowhere. On the other hand, narration in tragedy often goes from high to low. Oedipus is a clear example of this. At the beginning he is in a high position and held in high esteem by the people. By the end he has fallen to the depths of despair. Aristotle tells us that plot is the ""soul of tragedy,"" and he points out that we see this through an imitation of life through realistic actions. Taking risks and thinking big characterize narration in tragedy. Hamlet exemplifies these characteristics throughout the storyline. Aristotle insists that tragedy should have the right ending, which generally means that it will have an unhappy ending. We see this in Desire Under the Elms when Eben and Abbie are taken away to jail for the crime.   ",comparative
"Many people assume that the book and movie of the same story are always very similar, but they are incorrect. In my comparison of the short story Rikki-tikki-tavi by Rudyard Kipling and the movie of Rikki-tikki-tavi, I found them to be rather different. There were many minor differences, but the three main topics in the short story that clearly differentiate it from the movie are the setting, the character traits, and the use of humor. The setting in the movie differs from the setting in the short story in a few ways. The setting in the movie dives into larger detail in many of the scenes such as in the beginning flood scene. The flood scene setting in the movie reveals an eerie, strong, storm with a flood that resembles a river and flashing scenes of antique Indian statues, whereas in the story, Rudyard Kipling plainly states that there was a flood. Personally, I also felt that Rudyard Kipling leads you into thinking that many of the settings appear one way, but they do not seem this way in the movie. ",comparative
"High school, along with college are two major stepping stones in a person’s life. Many individuals are able to make the transitions from high school to college pretty easily, while there are others that find the transition into college to be somewhat challenging and hard to adjust to. When I made the jump from high school to college, I found that there are vast differences between the two, and both had very diverse environments. I found the key differences concerning high school and college to be the level of academic responsibilities, time management and scheduling, as well as the methods learning to be the main differences. Obviously, there is a major difference in the level of academic responsibilities between high school and college. In terms of expectations and responsibilities placed upon you in high school, they are more of a guideline and carefree, whereas college it is more complex and is individually based. What I mean by this is that in high school you can count on parents and your teacher in order to guide you in setting priorities and remind you of your responsibilities. It was part of your parents’ and teachers’ responsibility to make sure that you succeed in high school. Students have fewer duties to worry about, and fewer requirements where they could depend on others for help. In class, you are usually told by the teacher about what you need to study and how you are doing with your grades and attendance. Furthermore, in high school, many of the classes are assigned to you, and you are supplied with many of the materials and books. It’s an entirely different story once you enter college. ",comparative
"Every student typically has a great high school career. Classes are not very difficult; AP courses are an exception. Student workload is minimal, obtaining good grades is not much of a struggle, and exams are typically easy to pass. Course load outside the class is no more then a few hours of homework each week. Teachers and faculty help facilitate a moderately laid back culture to learning. 
The school system supports students to make sure their performance in classes in adequate to move on and aid students who are behind. Teachers, will typically pass students, even when there is a lack of understanding. Senior year is no exception to this. Teachers realize that seniors have little motivation to do work, especially as they get closer to graduation. Schoolwork is less rigorous and school is more social then educational, at least in my own experience. I will not be focusing on the differences in difficulty between the two because we all recognize that learning becomes more complex. 
The transition from high school to college can be a very controversial topic. There are many variables and opinions related to education alone. Some can say that the transition is a difficult experience. That many students struggle with the increased course load, advanced classes, and responsibility. Nonetheless, others can say the transition depends on many factors. A few being, the high school attended, the courses taken, and the student transitioning. Both education levels share the same similar teaching style, class instruction, and the learning styles. However, college is a choice. It brings new responsibilities, flexibility, and course structure. ",comparative
"The racism and discrimination against blacks in both Black Like Me and Black Boy show the hardships and racial injustice that blacks faced in the south with their share of differences and similarities. After reading Black Like Me and Black Boy, I have gained a better perspective, about how in Black Like Me when John Howard Griffin was a “black” man he was treated unequally as all blacks are and once he went back to being a white man those people who had treated him bad were now treating him with respect. However, in the end no matter the skin color some things are the same for both colors. In Black Boy, I have learned that the life of a young child, a black boy, is hard during the segregated south and can harshly affect the child while growing up. As I read, I came across some similarities between both works as well as some differences. Even though both works had their moments in which the characters faced struggles, I was still able to see optimism as well as hope for a better life and future. As I read Black Boy, Griffin provided me with a small insight on the way whites and blacks were differently treated. Black Like Me was based on a white man who wanted to get a better understanding of the life of negroes and how it feels to be treated unequally. He wanted to know what stood between the white man and black man, why they could not communicate. Griffin writes in his book that, “the only way I could see to bridge the gap between us was to become a Negro” (Griffin 1). His journey then began and he lived the life of a black man. It is with such bravery that he went and risked becoming a Negro. He knew that adverse consequences would occur once people knew the truth. He did not care.",comparative
"All throughout high school I’ve sat and listened to a countless number of teachers throw information in my face. Whether it be a new concept in math or a description of how to properly play kickball in gym. With all the years of hearing lecture after lecture, I cannot believe why I decided to come to college. I have signed and paid to have trained professionals throw more material in my face. One of the biggest difference between high school and college lectures is that I am no longer forced to listen. I pay the money, I make the decisions. In addition to the lectures, sports and a student’s social life are also different in college. Sports are either taken more serious or they are not. Even the social life of a student is subject to change. They could have been the most popular kid in high school and then come to college and have no one know them.
“You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go..”
Dr. Seuss: Oh, the Places You'll Go! High schools according to Mark Edmundson, author of Why Teach, are “credential factories in overdrive” (Edmundson 104). Students will spend their high school careers working to get accepted into the top schools of their choice. Building up their transcripts and getting the best letters of recommendation. High school is a steppingstone to college. It is a glimpse of the college experience. College classes are a big part of the college experience. Classes in high school usually range from 25-30 students. ",comparative
"One way to compare and contrast high school life and college life is student population. The population in college far exceeds high school enrollment. In high school the average number of students is seven hundred fifty and in college the average number of students is approximately seven thousand. Also, in college the authority figures are less visible than in high school. In high school, teachers restrain the students in all activities and events. Where as, in college the students are given more freedom to control themselves. Another difference is, in high school the hours are set in block form with no flexibility because the schedule is set by administration. College classes are more flexible because students get to choose what hours during the day they want to attend a class if an alternative is available. One way to compare and contrast high school life and college life is to look at the differences between high school teachers and college professors. High school teachers verbally explain what is expected throughout the duration of the semester. College professors give a syllabus which covers assignments and conduct. Taking class attendance is also done differently. Attendance is expected in high school with parent and administration approving any absences. In college, attendance is expected but students are solely responsible for attending classes. Another way to compare and contrast the two is to look at the teaching styles and methods. High school teachers teach from the textbook giving little if any notes at all. College professors teach lecture style requiring a great deal of note taking. One way to compare and contrast high school life and college life is to look at the athletic programs. In high school, students are getting the basic training for a specific sport that leads to being disciplined. College athletes are already trained and taught discipline to maintain focus on a sport. Also in high school, the students are not as strong physically because the body has not finished maturing. In college most athletes have already matured physically and are taught to improve and maintain their physique.",comparative
"The Aeneid is a poem of Fate, which acts as an ever-present determinant, and as such Aeneas is entirely in the hands of destiny. The unerring and inexorable passage of fate, assisted by the Gods' intervention, is impossible to prevent and its path does create many victims along the way, who are expendable for Rome to be created. In the Aeneid, mortals suffer, no matter what they do or how good a life they lead and they are unable to rely on the Gods for assistance. However, the Odyssey is a poem of morality, where the good are exulted and the bad are punished (""The blessed gods don't like wicked acts. Justice and fair play are what they respect"" O.14.84). It is the gods that uphold the distinction and are very active in passing judgement. No god supports the suitors or the Ithacan crew. Odysseus, the righteous man receives divine support since he is a man worthy of it. Not so in the Aeneid, where Juno supports the enemies of the Trojans, with such men as the dastardly Mezentius. In the Odyssey, destiny is one's own responsibility; instead of leaving all things up to fate, the characters have a significant influence upon his or her own existence. Whilst occasional prophecies punctuate the literary landscape of the Odyssey (e.g. the wanderings of Odysseus after he returns home, and the prophecy of Telemus), they are more poetic tools than fate determinants. ",comparative
"In D.H. Lawerence's short story, “The Rocking Horse Winner”, and Grahm Greene's “The Destructors, there are many truths to consider.  Although these two stories are considerably different, the message is the same.  Whether in a life-like story, such as “The Destructors”, or a fantacy, like “The Rocking Horse Winner”, the seeds of materialism are planted and nourished in lives of the characters.  The aspects of materialism in these two stories develop desired conclusions by its characters.  In order to understand the similar message of Greene short story “The Destructors” and Lawerence's “The Rocking Horse Winner”, one must scrutinize the various aspects of each story. When comparing the themes of each story, surprising similarities arise.  First, both are developed around the lives of children.  In “The Destructors” a group of boys called the Wormsley Gang have the same view of the world around them.  They have grown up together and share stories about the bombs that destroyed their town.  They also challenge each other to accomplish various tasks.   The house that the boys ultimately destroy represents the greediness of Mr. Thomas, an architect who owns the tattered home.  The Wormsley Gang called him ‘Old Misery’.  In the Rocking Horse Winner”, the story’s plot is thickend by a a young boys obsessive desire to “become lucky”.  This young boy, Paul, believes that his house is continually whispering, “…there must be more money…there must be more money”.  Paul is able to relate the self-proclaimed dissatificatoin of his mothers life with the odd mood of his house.  Paul knows that although his mother appears to have everything together on the outside, she does not love him on the inside.  Paul believes that he can please his mother if he is able to find a way to give her more money.  In both stories, the houses were very symbolic. When comparing the emotions and feelings of “The Destuctors” and “The Rocking Horse Winner”, one will discover how their characteristics affect the plot. In “The Destructors”, Trevor, who is the more natural leader of the Wormsley Gang, discovers his own anger upon visiting the home of Mr. Thomas.  Trevor then fuels the already burning curiosities of the gang, by challenging them to do something about it.  In “The Rocking Horse Winner”, Paul’s mother is also angry.  She feels the life she desperately desires, is not being supported with her husbands income. Open Document",comparative
